Título,Letra
Bow Down [Homecoming Live]," 
(Call Becky with the good hair)
Coachella, thank y'all so much for having us once again
I'm so honored to be on this stage tonight
And this next song is for all of my queens
Do we have any beautiful queens in the house tonight?
I want y'all to sing along if you know the lyrics
It's called Bow Down
I know when you were little girls
You dreamt of bein' in my world
Don't forget it, don't forget it
Respect that, bow down bitches
I took some time to live my life
But don't think I'm just his little wife
Don't get it twisted, get it twisted
This my shit, bow down bitches
Bow down bitches, bow-bow down bitches, hey
(Bow down down, bow-bow bow down)
(Bow down down, bow-bow bow down)
(Bow down down, bow-bow bow down)
(I'm so crown, crown, bow down, hey)
H-Town
I'm out that H-Town
Comin', comin' down
I'm comin' down, drippin' candy on the ground
(Comin' up)
H, H-town-town, I'm comin' down
(Comin' down)
Com-com-comin' down, drippin' candy on the ground
 "
Bow Down / I Been On," 
I'm out that H-Town coming, coming down
I'm coming down
Drippin' candy on the ground
H-H-Town-Town I'm coming down, co-co-coming down
Drippin' candy on the ground
I know when you were little girls
You dreamt of being in my world
Don't forget it, don't forget it
Respect that, bow down bitches
I took some time to live my life
But don't think I'm just his little wife
Don't get it twisted, get it twisted
This my shit
Bow down bitches
Bow down bitches
Bow, bow down bitches
Bow down bitches
Bow, bow down bitches
H-Town vicious, H-H-Town vicious
I'm so crown, bow, bow down bitches
I'm out that H-Town coming, coming down
I'm coming down
Drippin' candy on the ground
H-H-Town-Town I'm coming down, co-co-coming down
Drippin' candy on the ground
I been on, I been on, I been on
Tell me who gon' take me off, take me off
Take me off, take me off
Cuz I been on, I been on, I been on
Tell me who gon' take me off, take me off
Take me off, take me off
Rolling high, leather and Louis
Keep it trill that's what's good
Kiss my momma show that love
Pop them bottles in that club
I heard your boo was talking lip
I told my crew to smack that trick
Smack that trick, smack that trick
Guess what they did?
Smacked that trick
Gold everything
Gold ass chain
Gold ass rings
Gold ass fangs
You can see me stunt
When you turn on your screen
You can see me stunt
When you turn on your screen
I'm bigger than life
My name in the lights
I'm the number one chick
I don't need no hype
The capital B means I'm 'bout that life
The capital B means I'm 'bout that life
I been on, I been on, I been on
Tell me who gon' take me off, take me off
Take me off, take me off
Cuz I been on
I remember my baby hair with my dookie braids
Frenchy's, Boudin in the parking lot
Shout out to Willie D
I was in that Willie D. Video when I was about fourteen
Looking crazy
Shout out to Pimp C
You know we used to sneak and listen to that UGK
Didn't fuck yo girl but
Your sister was alright, man
I hopped up in your homeboy's caddy last night, man
Hold up
Texas trill
H-Town going down, man
 "
Bow Down / Tom Ford (The Formation World Tour)," 
I know when you were little girls
You dreamt of being in my world
Don't forget it, don’t forget it
Respect that, bow down bitches
I took some time to live my life
But don't think I'm just his little wife
Don't get it twisted, get it twisted
This my shit, bow down bitches
Bow down bitches, bow bow down bitches
Bow down bitches, bow bow down bitches
H-town vicious, H-H-town vicious
I'm so crown, bow bow down bitches
I'm out that H-town
Coming, coming down
I'm coming down dripping candy on the ground
H, H-town, town, I'm coming down
Coming down dripping candy on the ground
Coming up, (coming up), coming down, (coming down)
Riding clean fix your hair in my Crown ,(in my Crown)
Bad bitch, (Bad bitch), H town (H town)
Keep it trill, y'all know y'all can't fuck around (fuck around)
Coming up, (coming up), coming down, (coming down)
Riding clean fix your hair in my Crown, (in my Crown)
Bad bitch, (Bad bitch), H town (H town)
Keep it trill, y'all know y'all can't fuck around (fuck around)
 "
BREAK MY SOUL," 
(I'm 'bout to explode, take off this load)
(Bend it, bust it open, won't ya make it go?)
(Yaka, yaka, yaka, yaka, yaka, yaka, yaka)
(Yaka, yaka, yaka, yaka, yaka, yaka, yaka)
(Release your wiggle)
(Yaka, yaka, yaka, yaka, yaka, yaka, yaka)
(Yaka, yaka, yaka, yaka, yaka, yaka, yaka)
(Release your wiggle)
Ah, la, la, la, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la, la, la, la, la, la
You won't break my soul
You won't break my soul
You won't break my soul
You won't break my soul
I'm telling everybody
Everybody, everybody, everybody
Now, I just fell in love, and I just quit my job
I'm gonna find new drive, damn, they work me so damn hard
Work by nine, then off past five
And they work my nerves, that's why I cannot sleep at night
Motivation
I'm looking for a new foundation, yeah
And I'm on that new vibration
I'm building my own foundation, yeah
Hold up, oh, baby, baby
You won't brеak my soul (na, na)
You won't break my soul (no, no, na, na)
You won't break my soul (no, no, na, na)
You won't break my soul (na, na)
I'm tеlling everybody (na, na)
Everybody, everybody, everybody
(Release your anger, release your mind)
(Release your job, release the time)
(Release your trade, release the stress)
(Release the love, forget the rest)
I'ma let down my hair 'cause I lost my mind
Bey is back and I'm sleeping real good at night
The queens in the front and the doms in the back
Ain't taking no flicks but the whole clique snapped
There's a whole lot of people in the house
Trying to smoke with the yak in your mouth
(Good at night)
And we back outside
You said you outside but you ain't that outside
Worldwide hoodie with the mask outside
In case you forgot how we act outside
Got motivation (motivation)
I done found me a new foundation, yeah (new foundation)
And I'm taking my new salvation (new salvation)
And I'ma build my own foundation, yeah (oh, yeah, yeah)
Oh, baby, baby
You won't break my soul (you won't)
You won't break my soul (break my soul)
You won't break my soul (you won't)
You won't break my soul (break my soul)
And I'm telling everybody (everybody)
Everybody (everybody)
Everybody (everybody)
Everybody, yeah
If you don't seek it
You won't see it
That we all know
(Can't break my soul)
If you don't think it
You won't be it
That love ain't yours
(Can't break my soul)
Tryna fake it
Never makes it
That we all know
(Can't break my soul)
You can have the stress
And not take less
I'll justify love
We go round in circles, round in circles searching for love (round in circles)
We go up and down, lost and found, searching for love
Looking for something that lives inside me
Looking for something that lives inside me
You won't break my soul
You won't break my soul
You won't break my soul
You won't break my soul
I'm telling everybody
Telling everybody, everybody, everybody
You won't break my soul
You won't break my soul, no, no
You won't break my soul
You won't break my soul
And I'm telling everybody (oh, yeah)
Everybody (oh, yeah)
Everybody, everybody (oh, yeah)
I'm taking my new salvation
And I'ma build my own foundation, yeah
Got motivation (motivation)
I done found me a new foundation, yeah (new foundation)
I'm taking my new salvation (new salvation)
And I'ma build my own foundation, yeah (own foundation)
(I'm 'bout to explode, take off this load)
(Bend it, bust it open, won't ya make it go?)
(Yaka, yaka, yaka, yaka, yaka, yaka, yaka)
(Yaka, yaka, yaka, yaka, yaka, yaka, yaka)
(Release your wiggle)
(Yaka, yaka, yaka, yaka, yaka, yaka, yaka)
(Yaka, yaka, yaka, yaka, yaka, yaka, yaka)
(Release your wiggle)
(Release your wiggle)
(Release your wiggle)
(Release your anger, release your mind)
(Release your job, release the time)
(Release your trade, release the stress)
(Release the love, forget the rest)
 "
BREAK MY SOUL (THE QUEENS REMIX) (feat. Madonna)," 
Ooh, la, la
Ooh, la, la, la, la
La-la-la-la, la-la-la-la, la-la-la-la
La-la-la-la, la-la-la-la, la-la-la-la, la-la-la-la, la
Ooh, la, la
La-la-la-la, la-la-la-la, la-la-la-la
Ooh, la, la, la, la
I, mother of my house, vow, to keep my f-ing mouth to myself (la-la-la-la, la-la-la-la, la-la-la-la)
You make me smile, I vow to love thy hater
I believe in you, you can do it
Release ya anger, release ya mind
Release ya job, release the time
Release ya trade, release the stress
Release the love, forget the rest
You can do it
Release, repressed, supressed, regressed, redirect all that anger (to me)
And give it to me (to me), give it to me (to me), give it to me
Everybody (yaka-yaka, yaka-yaka, yaka-yaka, yaka-yaka)
Everybody (yaka-yaka, yaka-yaka, yaka-yaka, yaka-yaka)
Everybody (yaka-yaka, yaka-yaka, yaka-yaka, yaka-yaka)
I'm built for this, I can take it (everybody)
I can take it, you can do it
Now, I just fell in love
And I just quit my job (move to the music)
I'm gonna find new drive
Damn, they work me so damn hard
Work by nine
Then off past five
And they work my nerves
That's why I cannot sleep at night (you know you can do it)
I'm lookin' for motivation (you motivate me)
I'm lookin' for a new foundation, yeah (thank you)
And I'm on that new vibration (just keep speaking my name)
I'm buildin' my own foundation, yeah
Hol' up, oh, baby, baby (hol' up)
You won't break my soul
You won't break my soul
You won't break my soul (move to the music)
You won't break my soul (you know you can do it)
I'm tellin' everybody, na, na
Everybody
Everybody
Everybody
I'm built for this
I'm 'bout to explode, take off this load
Bend it, bust it open, won't ya make it go
I'm 'bout to explode, take off this load
Bend it, bust it open, won't ya make it go
Bend it, bust it open, bend it, bust it open, bend it, bend it
Bend it, bust it open, bend it, bust it open, bend it, bend it
Yaka-yaka, yaka-yaka, yaka-yaka, yaka-yaka
Yaka-yaka, yaka-yaka, yaka-yaka, yaka-yaka
I'ma let down my hair 'cause I lost my mind
Bey is back and I'm sleepin' real good at night
The queens in the front and the Doms in the back
Ain't takin' no flicks but the whole clique snapped
There's a whole lot of people in the house
Tryin' to smoke with the yak in your mouth
And we back outside
You said you outside, but you ain't that outside
Worldwide hoodie with the mask outside
In case you forgot how we act outside
(Strike a pose)
Love thy hater, woo (Vogue)
Queen mother, Madonna, I love ya (strike a pose, vogue)
(You know you can do it)
Rosetta Tharpe, Santigold (Vogue)
Bessie Smith, Nina Simone (Vogue)
Betty Davis, Solange Knowles
Badu, Lizzo, Kelly Rowl' (you know you can do it)
Lauryn Hill, Roberta Flack
Toni, Janet, Tierra Whack (let your body move to the music)
Missy, Diana, Grace Jones
Aretha, Anita, Grace Jones (hey, hey, hey)
Helen Folasade Adu, Jilly from Philly, I love you, boo (come on, vogue)
Don't just stand there, get in to it (let your body go with the flow)
Strike a pose, there's nothing to it (you know you can do it)
Vogue (do it, do it, do it)
Ah (ah-ah-ah, la-la-la, la-la-la-la-la-la)
Mother of the House, ah (ah-ah-ah, la-la-la)
Michelle, Chlöe, Halle, Aaliyah (la-la-la-la-la-la, Mother of the house)
Alicia, Whitney, Riri, Nicki (ah-ah-ah, la-la-la, la-la-la-la-la-la, House Extravaganza)
House of Revlon, House of LaBeija (la-la-la-la-la-la-la-la-la-la-la-la)
House of Amazon, the House of Aviance (la-la-la-la-la-la-la-la-la-la-la-la)
The House of Balmain (go with the flow), the House of Ninja (la-la-la-la-la-la-la-la-la-la-la-la, you know you can do it)
The House of Lanvin, House of Telfar
House of Ladosha, House of Mugler (go with the flow, you)
The House of Balenciaga, the House of Mizrahi-I-I-I-I (go with the flow)
Hehehehe (you know you can do it)
Yeah, yeah (la-la-la-la-la)
(La-la-la-la-la-la-la-la-la-la-la, oh, ooh, oh, yeah, you know you can do it)
Vogue
We go 'round in circles
Vogue
We go 'round in circles
Vogue
We go up and down
Vogue
Up and down searchin' for love (love, love, love, love)
Vogue
(Vogue) you won't break my soul
You won't break my soul (move to the music)
I'm tellin' everybody (Vogue)
Everybody
Everybody (Vogue)
Everybody (go with the flow)
Yeah, yeah (oh, you got to)
Yeah, yeah (let your body move to the music)
Got motivation (oh, you got to)
I done found me a new foundation, yeah (let your body go with the flow)
I'm takin' my new salvation (oh, you got to)
And I'ma build my own foundation, yeah (you, you, can do it)
Go with the flow, you
Go with the flow, you know you can do it
Go with the flow, you know you can do it
 "
BREAK MY SOUL (will.i.am remix) (feat. will.i.am)," 
Oh, oh, oh, oh, oh, oh, oh baby, baby
Oh, oh, oh, oh, oh, oh, oh baby, baby
Oh, oh, oh baby
Oh, oh, oh baby
Oh, oh, oh, oh
This is a remix
Oh baby, baby
You won't break my soul
You won't break my soul
You won't break my soul
You won't break my soul
And I'm tellin' everybody
Everybody
Everybody
Everybody
Now, I just fell in love
And I just quit my job
I'm gonna find new drive
Damn, they work me so damn hard
Work by nine
Then off past five
And they work my nerves
That's why I cannot sleep at night
I'm lookin' for motivation
I'm lookin' for a new foundation, yeah
And I'm on that new vibration
I'm buildin' my own foundation, yeah
Hold up, oh, baby, baby
You won't break my soul (na, na)
You won't break my soul (no-no, na, na)
You won't break my soul (no-no, na, na)
You won't break my soul (na, na)
And I'm tellin' everybody (everybody)
Everybody (everybody)
Everybody (everybody)
Oh, oh, oh, oh, oh, oh, oh baby, baby
Oh, oh, oh, oh, oh, oh, oh baby, baby
Oh, oh, oh baby
Oh, oh, oh baby
Oh, oh, oh, oh
This is a remix
Oh baby, baby
The queens in the front and thе Doms in the back
Ain't takin' no flicks but the whole cliquе snapped
There's a whole lot of people in the house
Tryin' to smoke with the yak in your mouth
(Good at night) and we back outside
You said you outside, but you ain't that outside
Worldwide hoodie with the mask outside
In case you forgot how we act outside
Got motivation (motivation)
I done found me a new foundation, yeah (new foundation)
I'm takin' my new salvation (new salvation)
And I'ma build my own foundation, yeah
Oh, baby, baby
You won't break my soul (you won't)
You won't break my soul (break my soul)
You won't break my soul (you won't)
You won't break my soul (break my soul)
And I'm tellin' everybody (everybody)
Everybody (everybody)
Everybody (everybody)
Everybody, yeah
Oh, oh, oh, oh, oh, oh, oh baby, baby
Oh, oh, oh, oh, oh, oh, oh baby, baby
Oh, oh, oh baby
Oh, oh, oh baby
Oh, oh, oh, baby, oh
Oh, baby, baby
Oh, oh, oh, oh, oh, oh, oh baby, baby
Oh, oh, oh, oh, oh, oh, oh baby, baby
Oh, oh, oh baby
Oh, oh, oh baby
Oh, oh, oh, oh
This is a remix
Oh baby, baby
You won't break my soul
You won't break my soul, no, no
You won't break my soul
You won't break my soul
And I'm tellin' everybody
Everybody
Everybody
Everybody
You won't break my soul (na, na)
You won't break my soul (no-no, na, na)
You won't break my soul (no-no, na, na)
You won't break my soul
And I'm tellin' everybody (motivation)
Everybody (I done found me a new foundation)
Everybody
I'm takin' my new salvation
And I'ma build my own foundation, yeah
Got new salvation (new salvation)
And I'ma build my own foundation, yeah (own foundation)
 "
Broken-hearted Girl," 
You're everything I thought you never were
And nothing like I thought you could've been
But still you live inside of me
So tell me, how is that?
You're the only one I wish I could forget
The only one I'd love to not forgive
And though you break my heart
You're the only one
And though there are times when I hate you 'cause I can't erase
The times that you hurt me and put tears on my face
And even now while I hate you, it pains me to say
I know I'll be there at the end of the day
I don't wanna be without you, babe
I don't want a broken heart
Don't wanna take a breath without you, babe
I don't wanna play that part
I know that I love you, but let me just say
I don't wanna love you in no kind of way, no, no
I don't want a broken heart
And I don't wanna play the broken-hearted girl
No, no, no broken-hearted girl
I'm no broken-hearted girl
There's something that I feel I need to say
But up 'till now I've always been afraid
That you would never come around
And still I wanna put this out
You say you got the most respect for me
But sometimes I feel you're not deserving of me
And still you in my heart
But you're the only one
And yes, there are times when I hate you, but I don't complain
'Cause I've been afraid that you would walk away
Oh, but now I don't hate you, I'm happy to say
That I will be there at the end of the day
I don't wanna be without you, baby
I don't want a broken heart
Don't wanna take a breath without you, babe
I don't wanna play that part
I know that I love you, but let me just say
I don't wanna love you in no kind of way, no, no
I don't want a broken heart
And I don't wanna play the broken-hearted girl
No, no, no broken-hearted girl
Now I'm at a place I thought I'd never be, ooh
I'm living in a world that's all about you and me, yeah
Ain't gotta be afraid, my broken heart is free
To spread my wings and fly away, away with you
Yeah, yeah, yeah
I don't wanna be without my baby
I don't want a broken heart
Don't wanna take a breath without my babe
I don't wanna play that part
I know that I love you, but let me just say
I don't wanna love you in no kind of way, no, no
I don't want a broken heart
I don't wanna play the broken-hearted girl
No, no, no broken-hearted girl
Broken-hearted girl, no, no
No broken-hearted girl
No broken-hearted girl
 "
Brown Eyes," 
Remember the first day when I saw your face?
Remember the first day when you smiled at me?
You stepped to me, and then you said to me
I was the woman you dreamed about
Remember the first day when you called my house?
Remember the first day when you took me out?
We had butterflies although we tried to hide it
And we both had a beautiful night
The way we held each other's hand
The way we talked, the way we laughed
It felt so good to find true love
I knew right then and there you were the one
Ooh, oh, ooh
I know that he loves me, cause he told me so
I know that he loves me, cause his feelings show
When he stares at me, you see he cares for me
You see how he is so deep in love
I know that he loves me cause it's obvious
I know that he loves me cause it's me he trusts
And he's missing me, if he's not kissing me
And when he looks at me his brown eyes tell his soul
Remember the first day, the first day we kissed?
Remember the first day we had an arguement?
We apologized, and then we compromised
And we haven't argued since
Remember the first day we stopped playing games?
Remember the first day you fell in love with me?
It felt so good for you to say those words
'Cause I felt the same way too
The way we held each other's hand
The way we talked, the way we laughed
It felt soo good to fall in love
And I knew right then and there you were the one, ooh, oh oh, woah
I know that he loves me, cause he told me so
I know that he loves me, cause his feelings show
When he stares at me you see he cares for me
You see how he is so deep in love
I know that he loves me cause it's obvious
I know that he loves me cause it's me he trusts
And he's missing me, if he's not kissing me
And when he looks at me his brown eyes tell his soul.
I'm so happy, so happy that you're in my life
And baby now that you're a part of me
You showed me
Showed me the true meaning of love
(The true meaning of love)
And I know he loves me
I know that he loves me, 'cause he told me so
I know that he loves me, 'cause his feelings show
When he stares at me you see he cares for me
You see how he is so deep in love
I know that he loves me cause it's obvious
I know that he loves me cause it's me he trusts
And he's missing me, if he's not kissing me
And when he looks at me his brown eyes tell his soul
He looks at me and his brown eyes
Tell his soul
 "
"BROWN SKIN GIRL (feat. Blue Ivy Carter, Wizkid & SAINt JHN)"," 
[SAINt JHN & Blue Ivy Carter]
Brown skin girl
Your skin just like pearls
The best thing in the world
Never trade you for anybody else
Singin': Brown skin girl
Your skin just like pearls
The best thing in the world
I never trade you for anybody else, singin'
[WizKid]
She said she really grew up poor like me
Don't believe in nothin' but the Almighty
Just a likkle jeans and a pure white tee
She never did forever be nobody wifey, yeah
So while I may not pretty boy, your heart is amiss
Play it like a villain 'cause she caught in a wave
Tonight I am walkin' away
Lined up my mind, on the grind, yeah, yeah
Tonight I might fall in love, dependin' on how you hold me
I'm glad that I'm calmin' down, can't let no one come control me
Keep dancin' and call it love, she fightin', but fallin' slowly
If ever you are in doubt, remember what mama told me
Brown skin girl, ya skin just like pearls
Your back against the world
I never trade you for anybody else, say
Brown skin girl, ya skin just like pearls
The best thing in all the world
I never trade you for anybody else, say
[Beyoncé]
Pose like a trophy when Naomis walk in
She need an Oscar for that pretty dark skin
Pretty like Lupita when the cameras close in
Drip broke the levee when my Kellys roll in
I think tonight she might braid her braids
Melanin too dark to throw her shade
She minds her business and winds her waist
Gold like 24k, okay?
[Wizkid & Beyoncé]
Tonight I might fall in love, dependin' on how you hold me
I'm glad that I'm calmin' down, can't let no one come control me
Keep dancin' and call it love, she fightin', but fallin' slowly
If ever you are in doubt, remember what mama told me
Brown skin girl, ya skin just like pearls
Your back against the world
I never trade you for anybody else, say
Brown skin girl, ya skin just like pearls
The best thing in all the world
I never trade you for anybody else, say
[Beyoncé]
Oh, have you looked in the mirror lately? (Lately)
Wish you could trade eyes with me (because)
There's complexities in complexion
But your skin, it glow like diamonds
Dig me like the earth, you be giving birth
Took everything in life, baby, know your worth
I love everything about you, from your nappy curls
To every single curve, your body natural
Same skin that was broken be the same skin takin' over
Most things out of focus, view
But when you're in the room, they notice you (notice you)
'Cause you're beautiful
Yeah, you're beautiful
Them men, them gon' fall in love with you and all of your glory
Your skin is not only dark, it shines and it tells your story
Keep dancin', they can't control you, they watchin', they all adore you
If ever you are in doubt, remember what mama told you
[Beyoncé & Wizkid]
Brown skin girl (brown skin girl), ya skin just like pearls (brown skin girl)
Your back against the world (oh)
I never trade you for anybody else, say (no, no)
Brown skin girl (brown skin girl), ya skin just like pearls (brown skin)
The best thing in all the world
I never trade you for anybody else, say
Brown skin girl, ya skin just like pearls 
Your back against the world 
I never trade you for anybody else, say 
Brown skin girl, ya skin just like pearls 
The best thing in all the world
I never trade you for anybody else, say
[Blue Ivy Carter]
Brown skin girl
Your skin just like pearls
The best thing in the world
I never trade you for anybody else, singin'
 "
Bug a Boo," 
1
You make me wanna throw my pager out the window
Tell MCI to cut the phone poles
Break my lease so I can move
Cause you a bug-a boo, a bug-a boo
I wanna put your number on the call block
Have AOL make my e-mail stop
Cause you a bug-a boo
You buggin' what?
You buggin' Who?
You buggin' me and don't you see it ain't cool
2
its not hot that you be callin me
stressin me pagin my beeper
you're just non-stop and its not hot
that you be leavin me messages
every 10 minutes and then you stop by
when i first met you, you were cool
but it was game you had me fooled
cause 20 minutes after i gave you my number
you already had my mailbox full
3
so what you bought a pair of shoes
what now i guess you think i owe you
you dont have to call as much as you do
ill give em back to be through with you
and so what my momma likes you
what now i guess you think i will too
even if the pope he said he likes you too
i dont really care cause you're a bug a boo
repeat 1 with adlibs
4
its not hot that when in blockin your phone number
you call me from over your best friends house
and its not hot that i cant even go out with my girlfriends
without you trackin me down
you need to chill out with that mess
cause you cant keep havin me stressed
cause everytime my phone rings it seems to be you
and im prayin that it is someone else
repeat 3
repeat 1
5
when you call me on the phone youre buggin me
when you follow me around youre buggin me
everything you do be buggin me
you buggin me, you buggin me
when you show up at my door you buggin me
when you open up your mouth you buggin me
everytime i see your face youre buggin me
youre buggin me your buggin me
repeat 1 with adlibs
 "
Bug a Boo Roll Call (Interlude) [Homecoming Live]," 
I'm Bug a Boo Daddy
AKA me, myself
Yo, let's take a group pic, bro, come on, come on, come on
And I
I'm Bug a Boo Up-Grade-You (Cha ching)
Also known as shinin', shinin', shinin', shinin', yeah (Shinin', yeah)
I'm Bug a— I'm Bug a Boo Sweet Dreams
Also known as Blow
I'm Bug a Boo Disappear
Also known as Ave Marie
I'm Bug a Boo Rocket
Also known as If I Were a Boy
I'm Bug a Boo We Gotta Work It Out, hey
Also known as we like to party
Hey, hey, hey, let's go, huh
Bug a Boo, huh
All together now
 "
Call Of Destiny," 
Meet me where your heart and the highway runs tonight, tonight
Jump into these wheels of fire and together we'll ride, we'll ride
Somewhere where we've never been
Somewhere where a chance is taken on a dream
Somewhere where we can begin
To let some passion out and some freedom in
Well somewhere in this mixed up and crazy world
There's a place, there's a place
Where people like us can be free to make our own mistakes
Get a break
Come on there's no reason to wait
To realize the brave new world we can create
Now before it gets too late
Spin the wheel
Shake the hand of fate
Call it destiny
Every step you take leads to where you should be
Call it destiny
Cause you can't escape what was meant to be
Call it destiny
Aw come on make a stand take my hand and don't ever let go, no no
It's written in the stars in the cars on the radio, let's go
Somewhere where we've never been
Somewhere where a chance is taken on a dream
Somewhere where we can begin
To let some passion out and some freedom in
Chorus
Meet me where your heart and the highway runs tonight
Jump into these wheels of fire and together we'll ride
 "
Can I (feat. Drake)," 
Is it alright if I want to fall way
Way deep in love with you?
Would it be safe to say that I'm well on my way?
I'm scared as hell yeah
Know heartbreak oh too well yeah,
Just give me a green light baby
To say it's ok to go in, go in, go in,
Baby can I, yeah, baby can I, yeah
Baby can I, yeah, baby can I, can
I tear these damn walls down now?
Yeah, yeah, yeah,
Can I tear these damn walls down now
Yeah yeah yeah, can I tear these damn walls down now?
I miss you do you miss us?
It's so much shit we gotta discuss
When you think about me do you get stuck?
Cause when I think about you everything just
Reminds me of when we had our first christmas
And I been thinking we should talk about mistrust
Cause it cuts and that hurts
If I could I would play it all backwards
If you say it then you can't take back words
My head pounds my back hurts
When your going no one ever really knows
But when your gone and you feeling really cold
Would that do exactly?
The same thoughts just keep coming at me
You attract me,
Would that be I'm not happy
Love is danger,
I never thought that I would share it with a stranger,
On a mission really thinking I could change up
And if I did was I ready for the change up
Would you listen to what she said and remain calm
But baby you left me filled with my anger
Mistake,
Went the wrong way
I'm preparing just to have another long day
Without you I go in
I get mad I throw things,
Temper tantrums I want you
We can do it all again and I want to what
Would that do exactly?
The same thoughts just keep coming at me
You attract me would that be
I'm not happy
I built these walls up they been here to protect me
Saying you're all I need now
I'm thinking bout you crazy
Cause the last time that I did this,
Damn near lost my mind
I can say that I can do this but really can I
Is it alright if I want to fall way
Way deep in love with you?
Would it be safe to say that I'm well on my way?
I'm scared as hell yeah,
Know heartbreak oh too well yeah,
Just give me a green light baby
To say it's ok to go in, go in, go in
 "
Can You Feel The Love Tonight (feat. Childish Gambino)," 
I can see what's happening (I can't, what?)
And they don't have a clue (who's they?)
They'll fall in love and here's the bottom line
Our trios down to two (oh, I get it)
The sweet caress of twilight (yeah)
There's magic everywhere (it's everywhere)
And with all this romantic atmosphere
Disaster's in the air!
Can you feel the love tonight?
The peace the evening brings?
The world, for once, in perfect harmony
With all its living things
So many things to tell her
But how to make her see
The truth about my past? Impossible!
She'd turn away from me
He's holding back, he's hiding
But what, I can't decide
Why won't he be the king I know he is?
The king I see inside?
Can you feel the love tonight?
The peace the evening brings?
The world, for once, in perfect harmony
With all its living things
Can you feel the love tonight?
You needn't look too far
Stealing through the night's uncertainties
Love is where they are
And if he falls in love tonight
It can be assumed
His carefree days with us are history
In short, our pal is doomed
 "
Cards Never Lie," 
[Beyonce]
The card never lie my last breaths a sigh 
and now I think about if its my time to die
I dont know what I was thinking steady waisting
time with hill and i need to live my life because my time is
unforgiven I cant understand how my life changed around
manifest my destiny is it the brown on the ground
Blues sky are turning grey and its the point of  indecision
Beliveing in the cards is just a thing of tarot vision.
[Wyclef]
Girlfriend get your mind on line dont spend your time cause you
cant waist your time everyday like its your last but you mustfeed 
the mind intervention comes to snatch up all your dreams frombehind
love you feel it and you got to let him know it love your heartand thats 
the feeling that you go with if you have a dream you need to goand let
and show it cause you could wake up in the morning and it couldbe over
[Chorus]
No no no no 
I dont wanna I dont wanna  I dont wanna go
Just Just Just let me stay home just let me live my dreams let 
me see another dawn [2x]
Rah digga
Carmen dont listen cause the cards have deciet 
just slide him the money we dont need a recipt truth only excistwithin 
the eyes of the beholder plus he kinda young for fourtune
telling probly should be older
[Wyclef]
But the cards never im telling you this cause now its her turn totry
to reach her goals before she reaches the lines
[Beyonce]
Just for love its like im tryna throw my life away sometimes
love is all you got and other times it makes you pay
[Wyclef]
But when you finaly rise then youll realize 
[Beyonce]
The windows to the
soul is not the hips but the eyes
[Wyclef]
But you can wish on a star that is dead but alive
[Beyonce]
But will they shine just  as bright as they did there entirelife
Chorus till fade
 "
Case," 
(Intro)
Oh no she didn't
Oh yes she did
Hey, hey, hey
(Chorus)
We about to catch a case
About to catch a case
We about to catch a case
About to catch a case
I'm about to catch a case
Hey, hey, hey, hey
(Verse 1)
Excuse me
That's the second time you bumped into me
Excuse, huh, whatcha say
One of ya'll better get her
Cuz I don't wanna get up in it
You just called me a gold digger
Now I gotta get up in her
Hold my
Somebody get my bag
Hold my
I need a stick up my hair
Three seconds
I'm 'bout to lose control
Call the cops
Cuz I'm 'bout to let go
(Hook)
Where my hardcore ladies from the front to back
And if you ready for war, where the ump you at
Where my soul sistas at
Where my soul sistas at
Where my soul sistas at
Don't hold me back
(Chorus)
We about to catch a case
About to catch a case
We about to catch a case
About to catch a case
I'm about to catch a case
Hey, hey, hey, hey
We about to catch a case
About to catch a case
We about to catch a case
About to catch a case
I'm about to catch a case
What
Hey, hey, hey, hey
(Verse 2)
Usually I keep my cool and keep it movin'
But you know just what you're doin'
Arm is swinging, now get through it
We can do it
You wanna prove it
Then go 'head and make yo move
Unless you're scared
Cuz if you're scared I can understand
You might be showin' off
Tell me is it for your man
You brought him to the cause
Maybe that's how you can get down
And if you don't then you can pray
(Hook)
Where my hardcore ladies from the front to back
And if you ready for war, where the ump you at
Where my soul sistas at
Where my soul sistas at
Where my soul sistas at
Don't hold me back
(Chorus 2x)
We about to catch a case
About to catch a case
We about to catch a case
About to catch a case
I'm about to catch a case
Hey, hey, hey
We about to catch a case
About to catch a case
We about to catch a case
About to catch a case
I'm about to catch a case
What
Hey, hey, hey, hey
(Hook)
Where my hardcore ladies from the front to back
And if you ready for war, where the ump you at
Where my soul sistas at
Where my soul sistas at
Where my soul sistas at
Don't hold me back
 "
